countyid,emp
40109,65458
40111,404
40113,903
40115,3012
40117,674
40119,2155
40121,894
40123,629
40125,2171
40127,36
40129,22
40131,3181
40133,320
40135,852
40137,700
40139,346
40141,132
40143,44746
40145,357
40147,5679
40149,75
40151,245
40153,391
41001,310
41003,3234
41005,18428
41007,934
41009,496
41011,1946
41013,183
41015,224
41017,6704
41019,2235
41021,88
41023,32
41025,91
41027,1878
41029,9289
41031,525
41033,2115
41035,2604
41037,55
41039,13362
41041,1821
41043,2750
41045,860
41047,10580
41049,660
41051,89401
41053,1950
41055,21
41057,535
41059,2712
41061,413
41063,140
41065,319
41067,68551
41069,43
41071,4968
42001,3993
42003,175160
42005,1303
42007,4570
42009,958
42011,16744
42013,5032
42015,1138
42017,35723
42019,9776
42021,5785
42023,63
42025,1878
42027,4052
42029,79333
42031,694
42033,2137
42035,877
42037,1347
42039,3117
42041,21971
42043,25389
42045,40005
42047,846
42049,11761
42051,2596
42053,103
42055,5606
42057,316
42059,1440
42061,1596
42063,2818
42065,1036
42067,175
42069,18867
42071,29310
42073,2548
42075,4510
42077,27174
42079,20685
42081,3696
42083,1062
42085,5434
42087,709
42089,5784
42091,113096
42093,2324
42095,21149
42097,1940
42099,1143
42101,151151
42103,1186
42105,492
42107,2679
42109,2072
42111,1113
42113,102
42115,867
42117,657
42119,3583
42121,744
42123,1996
42125,13525
42127,1944
42129,15106
42131,2739
42133,18237
44001,3730
44003,10998
44005,5918
44007,52842
44009,3592
45001,434
45003,8750
45005,83
45007,4482
45009,252
45011,139
45013,4079
45015,8738
45017,138
45019,24853
45021,1642
45023,539
45025,274
45027,279
45029,319
45031,1927
45033,413
45035,1396
45037,318
45039,912
45041,2765
45043,1063
45045,31442
45047,1108
45049,268
45051,7745
45053,640
45055,428
45057,3969
45059,1232
45061,127
45063,7918
45065,145
45067,252
45069,158
45071,607
45073,1713
45075,1520
45077,2763
45079,20653
45081,157
45083,12033
45085,1516
45087,485
45089,213
45091,6273
46003,126
46005,743
46007,33
46009,107
46011,799
46013,1926
46015,151
46017,80
46019,102
46021,31
46023,480
46025,110
46027,187
46029,1704
46031,71
46033,161
46035,1356
46037,218
46039,81
46041,83
46043,127
46045,233
46047,66
46049,69
46051,195
46053,78
46055,169
46057,138
46059,357
46061,36
46063,4
46065,768
46067,333
46069,76
46071,13
46073,143
46075,11
46077,116
46079,431
46081,2083
46083,1747
46085,76
46087,184
46089,56
46091,129
46093,280
46095,8
46097,144
46099,18454
46101,471
46103,4582
46105,89
46107,93
46109,319
46111,26
46113,182
46115,293
46117,60
46119,58
46121,194
46123,133
46125,170
46127,2471
46129,392
46135,652
46137,28
47001,8929
47003,438
47005,81
47007,6
47009,6399
47011,5638
47013,206
47015,38
47017,872
47019,1052
47021,386
47023,868
47025,1283
47027,86
47029,267
47031,728
47033,185
47035,1425
47037,93102
47039,227
47041,184
47043,657
47045,545
47047,817
47049,903
47051,1699
47053,749
47055,626
47057,166
47059,1212
47061,23
47063,1246
47065,23309
47067,10
47069,868
47071,251
47073,351
47075,461
47077,128
47079,722
47081,109
47083,2
47085,205
47087,89
47089,1145
47091,92
47093,27647
47095,121
47097,709
47099,449
47101,114
47103,214
47105,1265
47107,741
47109,65
47111,217
47113,3807
47115,314
47117,162
47119,1314
47121,26
47123,652
47125,2271
47127,6
47129,39
47131,733
47133,96
47135,65
47137,232
47139,103
47141,2224
47143,712
47145,839
47147,724
47149,11658
47151,96
47153,58
47155,4818
47157,75002
47159,42
47161,15
47163,5634
47165,3108
47167,733
47169,203
47171,53
47173,105
47175,2
47177,378
47179,3963
47181,427
47183,351
47185,177
47187,32888
47189,4248
48001,498
48003,371
48005,1870
48007,338
48009,59
48011,9
48013,624
48015,755
48017,133
48019,205
48021,858
48023,57
48025,341
48027,9007
48029,123981
48031,132
48033,10
48035,153
48037,2035
48039,4182
48041,6618
48043,126
48045,6
48047,194
48049,940
48051,102
48053,836
48055,775
48057,294
48059,48
48061,6781
48063,243
48065,110
48067,191
48069,134
48071,1637
48073,1002
48075,111
48077,64
48079,20
48081,14
48083,62
48085,95747
48087,51
48089,387
48091,3789
48093,255
48095,304
48097,1117
48099,783
48101,5
48103,113
48105,88
48107,111
48109,76
48111,303
